nr	PrisPerLiter	fyllighet	stravhet	fruktsyra	Namn	desc	Forpackning
464201	Yellow Tail	105.33	6	5	8	Mycket fruktig smak med inslag av mörka bär, inslag av sötlakrits	Flaska
464301	JP Chenet	92.00	4	4	8	Bärig smak med inslag av skogshallon, inslag av blåbär, inslag av lakrits	Flaska
464304	JP Chenet	120.00	4	4	8	Bärig smak med inslag av skogshallon, inslag av blåbär, inslag av lakrits	Flaska
464501	Dark Horse	118.67	8	6	8	Generöst fruktig smak med inslag av fat, inslag av blåbärssylt, inslag av björnbär, inslag av mynta, inslag av peppar, inslag av vanilj	Flaska
7354601	Massimo	89.00	7	7	9	Kryddig smak med inslag av fat, inslag av körsbär, inslag av kryddnejlika, inslag av russin, inslag av smörkola	Flaska
7010901	Mille 1	198.67	9	8	10	Mycket fruktig smak med inslag av fat, inslag av blåbär, inslag av mörka körsbär, inslag av skogshallon, inslag av choklad	Flaska
7934201	Gran Real	52.00	7	7	10	Fruktig, något kryddig smak med inslag av fat, inslag av mörka körsbär, inslag av korinter, inslag av kakao, inslag av vanilj	Flaska
7366101	Borgogno	358.67	8	10	10	Nyanserad, kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av nypon, inslag av tobak, inslag av kanel, inslag av pomerans, inslag av sandelträ	Flaska
204701	Highland Heritage Estate	132.00	5	5	10	Kryddig, nyanserad smak med fatkaraktär, inslag av körsbär, inslag av jordgubbar, inslag av sandelträ, inslag av lingon, inslag av kanel, inslag av mineral	Flaska
7072501	Brancaia	198.67	8	8	10	Nyanserad, kryddig smak med inslag av körsbär, inslag av kryddnejlika, inslag av hallon, inslag av salvia	Flaska
7636501	Prescription	132.00	7	5	8	Mycket fruktig smak med fatkaraktär, inslag av blåbärssylt, inslag av mynta, inslag av skogshallon, inslag av vanilj	Flaska
689401	Hope	105.33	9	8	9	Fruktig, kryddig smak med inslag av fat, inslag av björnbär, inslag av lavendel, inslag av lakrits, inslag av peppar, inslag av hallon, inslag av plommon	Flaska
628601	Kings Ridge	212.00	5	5	10	Kryddig, bärig smak med fatkaraktär, inslag av körsbär, inslag av skogshallon, inslag av sandelträ, inslag av örter, inslag av kanel, inslag av vanilj	Flaska
271901	Zola	92.00	8	7	9	Fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av kryddor, inslag av choklad, inslag av plommon, inslag av kaffe	Flaska
221302	Domaine du Grand Montmirail	266.67	9	9	9	Balanserad, kryddig smak med inslag av fat, inslag av björnbär, inslag av mynta, inslag av hallon, inslag av tobak, inslag av ceder, inslag av örter	Flaska
272201	Eger	93.33	7	7	9	Fruktig smak med inslag av körsbär, inslag av kryddnejlika, inslag av blåbär, inslag av lakrits	Flaska
238808	Monlusso	83.00	7	7	9	Fruktig, kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av choklad, inslag av plommon, inslag av viol, inslag av örter	Box
561901	Rully Premier Cru Cuvée Signature	252.00	6	5	9	Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, inslag av skogshallon, inslag av choklad, inslag av örter, inslag av jordgubbar	Flaska
549101	La Dame de Malescot	398.67	9	9	9	Komplex smak med rostad fatkaraktär, inslag av plommon, inslag av tobak, inslag av svarta vinbär, inslag av kaffe, inslag av kardemumma, inslag av kakao, inslag av ceder	Flaska
1238501	Zenato	184.00	8	7	9	Kryddig, nyanserad smak med fatkaraktär, inslag av mörka körsbär, inslag av kardemumma, inslag av mynta, inslag av plommon, inslag av choklad	Flaska
315601	Château Haut Brandey	158.67	8	8	10	Fruktig smak med inslag av svarta vinbär, inslag av körsbär, inslag av ceder, inslag av blåbär, inslag av örter	Flaska
237401	Alta Mora	206.67	8	10	10	Kryddig, nyanserad smak med inslag av fat, inslag av körsbär, inslag av kryddnejlika, inslag av kanel, inslag av jordgubbar, inslag av choklad, inslag av mineral, inslag av sandelträ	Flaska
7419201	Victoria	133.33	8	7	9	Mycket fruktig smak med rostad fatkaraktär, inslag av mörka körsbär, inslag av mjölkchoklad, inslag av kaffe, inslag av vanilj	Flaska
7130001	Anciano	118.67	7	7	9	Mogen, kryddig smak med tydlig fatkaraktär, inslag av torkade körsbär, inslag av vanilj, inslag av korinter, inslag av mjölkchoklad, inslag av kaffe	Flaska
7361901	Roccamozzi	118.67	8	7	9	Fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av blåbär, inslag av färska örter, inslag av peppar, inslag av lakrits	Flaska
7909701	Brigaldara	185.33	7	7	10	Kryddig smak med inslag av fat, inslag av körsbär, inslag av kanel, inslag av vanilj, inslag av skogshallon, inslag av mjölkchoklad, inslag av peppar	Flaska
7985201	57 on Main	132.00	8	8	9	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av skogshallon, inslag av choklad, inslag av viol, inslag av vanilj	Flaska
7910701	Cashmere	172.00	10	8	9	Mycket fruktig, kryddig smak med fatkaraktär, inslag av plommon, inslag av choklad, inslag av fikon, inslag av björnbär, inslag av vanilj, inslag av kokos	Flaska
7218101	Barolo	526.67	9	11	10	Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, inslag av rosor, inslag av nougat, inslag av svart te, inslag av pomerans, inslag av kanel	Flaska
464608	Bosman	73.00	8	7	9	Mycket fruktig smak med fatkaraktär, inslag av plommon, inslag av choklad, inslag av svarta vinbär, inslag av lakrits och vanilj. 	Box
683301	Santa Inés	92.00	7	7	9	Fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av örter, inslag av plommon, inslag av lagerblad, inslag av lakrits	Flaska
220501	Errazuriz Estate Series	118.67	9	9	10	Fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av färska örter, inslag av choklad, inslag av kaffe, inslag av vanilj, inslag av ceder	Flaska
657101	Santa Ana Classic	92.00	8	8	9	Fruktig smak med inslag av fat, inslag av björnbär, inslag av svarta vinbär, inslag av färska örter, inslag av körsbär, inslag av vanilj	Flaska
7026801	Maison Robert Olivier	145.33	7	7	10	Fruktig smak med inslag av svarta vinbär, inslag av örter, inslag av blåbär, inslag av ceder, inslag av slånbär	Flaska
280701	Arniston Bay	74.67	7	7	9	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av kanel, inslag av kaffe, inslag av choklad	Flaska
7144106	Mandrarossa Timperosse	166.00	8	7	10	Fruktig smak med inslag av fat, inslag av blåbär, inslag av mörka körsbär, inslag av peppar, inslag av basilika, inslag av lakrits, inslag av skogshallon	Magnum
686801	WaraWara	158.67	10	8	9	Fruktigt, smakrikt vin med fatkaraktär, inslag av svarta vinbär, inslag av mörk choklad, inslag av ceder, inslag av plommon, inslag av kaffe, inslag av mynta	Flaska
7260001	Côtes-du-Rhône	145.33	8	8	9	Kryddig smak med inslag av fat, inslag av plommon, inslag av blåbär, inslag av svartpeppar, inslag av lagerblad, inslag av hallon, inslag av lakritsrot	Flaska
216608	Castelrosso	76.33	7	6	9	Fruktig smak med inslag av fat, inslag av blåbär, inslag av choklad, inslag av körsbär, inslag av kanel, inslag av örter	Box
7681101	Amicone	172.00	9	8	9	Kryddig, nyanserad smak med fatkaraktär, inslag av mörka körsbär, inslag av kryddnejlika, inslag av choklad, inslag av kaffe, inslag av vanilj	Flaska
237708	Levante	59.67	6	6	9	Fruktig smak med inslag av körsbär, inslag av mörka bär, inslag av örter, inslag av lakrits	Box
535501	Sivas-Sonoma	252.00	5	5	10	Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, inslag av kryddnejlika, inslag av jordgubbar, inslag av choklad, inslag av hallon, inslag av kaffe, inslag av mynta	Flaska
499601	The City Runner	105.33	9	8	9	Fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av björnbär, inslag av vanilj, inslag av lakrits	Flaska
226101	Anciano	92.00	7	7	9	Fruktig smak med inslag av fat, inslag av blåbär, inslag av skogshallon, inslag av örter, inslag av vanilj	Flaska
549301	Beaujolais Villages	132.00	4	4	10	Bärig, nyanserad smak med inslag av hallon, inslag av örter, inslag av körsbär, inslag av blåbär, inslag av muskot, inslag av viol	Flaska
208401	Quinta do Cachão	158.67	9	9	9	Nyanserad, fruktig smak med fatkaraktär, inslag av björnbär, inslag av lagerblad, inslag av lavendel, inslag av plommon, inslag av mörka körsbär, inslag av peppar, inslag av choklad	Flaska
7897701	Crozes-Hermitage	220.00	8	8	9	Kryddig, nyanserad smak med inslag av fat, inslag av björnbär, inslag av peppar, inslag av lagerblad, inslag av lakrits, inslag av ceder, inslag av hallon	Flaska
